"race","driver1_name","driver1_avg_lap_ms","driver1_avg_stddev_ms","driver1_lap_cv","driver2_name","driver2_avg_lap_ms","driver2_avg_stddev_ms","driver2_lap_cv","cv_diff"
"Portuguese Grand Prix","Hamilton","85930.621212121212","12726.02496494","0.14809650838582429363","Bottas","86438.651515151515","12973.07753594","0.15008421936876232618","0.00198771098293803255"
"Portuguese Grand Prix","Verstappen","86372.257575757576","12832.99051461","0.14857769004537266326","Pérez","86532.666666666667","12435.44040893","0.14370804561972742416","-0.00486964442564523910"
"Qatar Grand Prix","Ocon","90334.052631578947","4391.376116163249","0.04861263264776978743","Alonso","89963.649122807018","4286.105431221199","0.04764263647609879502","-0.00096999617167099241"
"Qatar Grand Prix","Sainz","90357.578947368421","4428.446724414492","0.04901024104457223642","Leclerc","90378.894736842105","4991.745388582644","0.05523131703609787583","0.00622107599152563941"
"Qatar Grand Prix","Ricciardo","91108.410714285714","4555.781265308692","0.05000395934460472087","Norris","90521.178571428571","5187.663811589753","0.05730884079791630636","0.00730488145331158549"
"Qatar Grand Prix","Schumacher","91628.428571428571","4609.562696108021","0.05030712376033661910","Mazepin","92888.290909090909","4876.358852109374","0.05249702416079364348","0.00218990040045702438"
"Qatar Grand Prix","Stroll","90346.403508771930","4570.506422626839","0.05058869246724446016","Vettel","90608.339285714286","4904.654840146657","0.05413028070938219600","0.00354158824213773584"
"Qatar Grand Prix","Hamilton","88920.543859649123","5046.668802537597","0.05675481259429974609","Bottas","90838.291666666667","9334.965737343436","0.10276465536800627084","0.04600984277370652475"
"Qatar Grand Prix","Giovinazzi","91600.250000000000","5389.303980191606","0.05883503571433053949","Räikkönen","91164.392857142857","5460.677079825346","0.05989923158247079089","0.00106419586814025140"
"Qatar Grand Prix","Gasly","90708.214285714286","5449.349287973534","0.06007558776109383365","Tsunoda","91114.232142857143","5543.791128136286","0.06084440375290907695","0.00076881599181524330"
